System,Accuracy (%),Δ acc. vs ref. (pp),95% CI (pp),Compute/query (TFLOPs),Escalation rate (%)
routeguard,80.6 ± 0.9,0.0,–,5.951 ± 0.504,50.9 ± 7.7
conf_entropy,80.5 ± 1.1,-0.1,"[-0.3, +0.0]",5.951 ± 0.505,50.8 ± 7.9
conf_min_token_prob,80.9 ± 0.6,+0.3,"[+0.0, +0.6]",6.258 ± 0.082,55.5 ± 4.3
conf_sequence_logprob,80.7 ± 0.9,+0.0,"[+0.0, +0.1]",5.968 ± 0.475,51.1 ± 7.4
heuristic_difficulty,80.7 ± 0.9,+0.0,"[+0.0, +0.1]",5.945 ± 0.506,50.5 ± 7.8
neural_difficulty,80.5 ± 1.2,-0.1,"[-0.3, +0.1]",5.959 ± 0.535,53.0 ± 7.4
no_confidence,72.8 ± 0.6,-7.8,"[-9.1, -6.6]",3.426 ± 0.126,1.6 ± 0.8
no_escalation,72.0 ± 1.1,-8.6,"[-9.9, -7.3]",3.329 ± 0.165,0.0 ± 0.0
no_task_classification,81.2 ± 1.5,+0.6,"[-0.4, +1.6]",5.084 ± 0.081,50.5 ± 4.3
no_verification,80.5 ± 1.1,-0.1,"[-0.3, +0.0]",5.933 ± 0.535,50.7 ± 8.0
uncalibrated_fixed_threshold,74.9 ± 0.3,-5.7,"[-6.8, -4.7]",3.923 ± 0.126,13.2 ± 1.1
