System,en,fa,kk,pes_Arab,prs_Arab,ru
conf_entropy,77.0 ± 1.8,57.5 ± 0.0,80.0 ± 3.6,89.7 ± 2.5,90.0 ± 0.0,85.5 ± 0.5
conf_min_token_prob,77.7 ± 0.5,57.5 ± 0.0,80.0 ± 3.6,90.7 ± 1.2,90.0 ± 0.0,85.5 ± 0.5
conf_sequence_logprob,77.3 ± 1.3,57.5 ± 0.0,80.0 ± 3.6,89.7 ± 2.5,90.0 ± 0.0,85.7 ± 0.6
heuristic_difficulty,77.2 ± 1.4,58.3 ± 1.4,80.0 ± 3.6,89.7 ± 2.5,90.0 ± 0.0,85.7 ± 0.6
neural_difficulty,77.0 ± 1.8,58.3 ± 1.4,80.0 ± 3.6,89.7 ± 2.5,90.0 ± 0.0,85.5 ± 0.9
no_confidence,69.8 ± 1.1,54.2 ± 8.0,76.3 ± 2.3,79.3 ± 4.5,83.3 ± 1.4,75.0 ± 2.2
no_escalation,68.2 ± 1.8,54.2 ± 8.0,76.3 ± 2.3,79.0 ± 5.0,83.3 ± 1.4,75.0 ± 2.2
no_task_classification,78.7 ± 0.9,61.7 ± 7.2,83.3 ± 2.3,87.0 ± 2.6,89.2 ± 2.9,84.3 ± 0.6
no_verification,76.9 ± 1.9,57.5 ± 0.0,80.0 ± 3.6,89.7 ± 2.5,90.0 ± 0.0,85.7 ± 0.6
oracle_task_labels,78.0 ± 0.4,60.0 ± 4.3,79.3 ± 3.8,88.3 ± 1.5,90.0 ± 0.0,84.7 ± 1.3
routeguard,77.2 ± 1.4,57.5 ± 0.0,80.0 ± 3.6,89.7 ± 2.5,90.0 ± 0.0,85.7 ± 0.6
uncalibrated_fixed_threshold,71.4 ± 0.9,53.3 ± 7.2,77.7 ± 2.5,83.3 ± 1.5,89.2 ± 1.4,77.3 ± 2.8
