System,en,fa,kk,pes_Arab,prs_Arab,ru
conf_entropy,0.564 ± 0.036,0.628 ± 0.008,0.503 ± 0.053,0.584 ± 0.069,0.578 ± 0.121,0.667 ± 0.059
conf_min_token_prob,0.563 ± 0.032,0.739 ± 0.119,0.647 ± 0.058,0.591 ± 0.074,0.639 ± 0.066,0.720 ± 0.032
conf_sequence_logprob,0.581 ± 0.039,0.697 ± 0.029,0.489 ± 0.058,0.569 ± 0.069,0.541 ± 0.052,0.692 ± 0.063
heuristic_difficulty,0.570 ± 0.041,0.612 ± 0.027,0.513 ± 0.052,0.575 ± 0.072,0.535 ± 0.052,0.696 ± 0.074
neural_difficulty,0.568 ± 0.039,0.587 ± 0.054,0.523 ± 0.034,0.572 ± 0.059,0.535 ± 0.052,0.685 ± 0.053
no_confidence,–,–,–,–,–,–
no_escalation,0.571 ± 0.040,0.610 ± 0.026,0.518 ± 0.044,0.574 ± 0.070,0.535 ± 0.052,0.692 ± 0.077
no_task_classification,0.600 ± 0.017,0.671 ± 0.068,0.451 ± 0.024,0.564 ± 0.027,0.546 ± 0.072,0.614 ± 0.016
no_verification,0.571 ± 0.040,0.610 ± 0.026,0.518 ± 0.044,0.574 ± 0.070,0.535 ± 0.052,0.692 ± 0.077
oracle_task_labels,0.510 ± 0.053,0.642 ± 0.068,0.482 ± 0.051,0.533 ± 0.027,0.525 ± 0.052,0.630 ± 0.016
routeguard,0.571 ± 0.040,0.610 ± 0.026,0.518 ± 0.044,0.574 ± 0.070,0.535 ± 0.052,0.692 ± 0.077
uncalibrated_fixed_threshold,0.623 ± 0.040,0.630 ± 0.108,0.482 ± 0.031,0.545 ± 0.040,0.574 ± 0.080,0.714 ± 0.056
