System,Δ acc. (pp),95% CI (pp),Bootstrap p,McNemar p,n
conf_entropy,-0.1,"[-0.3, +0.0]",0.0944,0.25,2580
conf_min_token_prob,+0.3,"[+0.0, +0.6]",0.0712,0.0963,2580
conf_sequence_logprob,+0.0,"[+0.0, +0.1]",0.705,1,2580
heuristic_difficulty,+0.0,"[+0.0, +0.1]",0.75,1,2580
neural_difficulty,-0.1,"[-0.3, +0.1]",0.536,0.688,2580
no_confidence,-7.8,"[-9.1, -6.6]",0,2.11e-36,2580
no_escalation,-8.6,"[-9.9, -7.3]",0,3.77e-41,2580
no_task_classification,+0.6,"[-0.4, +1.6]",0.255,0.276,2580
no_verification,-0.1,"[-0.3, +0.0]",0.0936,0.25,2580
oracle_task_labels,+0.0,"[-0.7, +0.7]",1,1,2580
uncalibrated_fixed_threshold,-5.7,"[-6.8, -4.7]",0,1.19e-25,2580
