System,AUROC,AUPRC,ECE,Brier,AURC,Error rate (%)
always_large,0.597 ± 0.022,0.254 ± 0.020,0.046 ± 0.010,0.157 ± 0.003,0.145 ± 0.008,19.5 ± 0.6
always_medium,0.569 ± 0.017,0.399 ± 0.026,0.052 ± 0.015,0.223 ± 0.005,0.287 ± 0.012,33.4 ± 1.0
always_small,0.639 ± 0.013,0.657 ± 0.011,0.040 ± 0.017,0.234 ± 0.001,0.442 ± 0.022,52.1 ± 0.7
cascade,0.639 ± 0.013,0.657 ± 0.011,0.040 ± 0.017,0.234 ± 0.001,0.442 ± 0.022,52.1 ± 0.7
difficulty_threshold,0.679 ± 0.016,0.595 ± 0.013,0.071 ± 0.023,0.209 ± 0.005,0.268 ± 0.016,37.9 ± 0.3
learned_router,0.572 ± 0.019,0.555 ± 0.013,0.084 ± 0.017,0.257 ± 0.006,0.442 ± 0.021,47.2 ± 0.7
oracle,0.817 ± 0.008,0.455 ± 0.006,0.279 ± 0.023,0.175 ± 0.011,0.045 ± 0.001,13.5 ± 0.2
random,0.693 ± 0.010,0.565 ± 0.018,0.040 ± 0.013,0.205 ± 0.004,0.243 ± 0.008,36.0 ± 0.1
routeguard,0.576 ± 0.024,0.352 ± 0.019,0.072 ± 0.008,0.205 ± 0.005,0.226 ± 0.022,28.0 ± 1.1
rule_based,0.672 ± 0.021,0.588 ± 0.020,0.055 ± 0.008,0.213 ± 0.007,0.280 ± 0.017,38.3 ± 0.6
