System,Routing acc. (%),Unnecessary large-model use (%),Incorrect small-model routing (%),Oracle acc. (%)
always_large,13.3 ± 0.6,86.7 ± 0.6,0.0 ± 0.0,86.5 ± 0.2
always_medium,25.4 ± 1.1,61.4 ± 0.5,17.9 ± 1.2,86.5 ± 0.2
always_small,61.4 ± 0.5,0.0 ± 0.0,38.6 ± 0.5,86.5 ± 0.2
cascade,61.4 ± 0.5,0.0 ± 0.0,38.6 ± 0.5,86.5 ± 0.2
difficulty_threshold,44.5 ± 0.9,34.9 ± 1.2,22.9 ± 0.3,86.5 ± 0.2
learned_router,52.5 ± 0.8,15.2 ± 1.6,33.1 ± 0.8,86.5 ± 0.2
oracle,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,86.5 ± 0.2
random,32.1 ± 0.8,49.9 ± 1.1,19.6 ± 0.6,86.5 ± 0.2
routeguard,27.1 ± 0.5,64.3 ± 1.4,10.7 ± 1.3,86.5 ± 0.2
rule_based,42.5 ± 0.6,36.6 ± 0.5,23.0 ± 0.3,86.5 ± 0.2
