System,Model,Acceptance rate (%),Accepted error rate (%),Accepted / seed
always_large,qwen3-8b,99.2 ± 0.7,19.3 ± 0.7,853 ± 6
always_medium,qwen3-1.7b,98.6 ± 0.5,32.8 ± 1.1,848 ± 5
always_small,qwen3-0.6b,55.7 ± 4.9,43.1 ± 1.0,479 ± 42
cascade_a0.5,qwen3-0.6b,78.3 ± 11.1,46.0 ± 2.5,673 ± 96
routeguard_a0.15,qwen3-1.7b,9.9 ± 17.2,16.3,41 ± 71
routeguard_a0.15,qwen3-8b,5.0 ± 4.5,28.1 ± 5.3,20 ± 19
routeguard_a0.25,qwen3-1.7b,26.8 ± 24.7,24.5 ± 4.6,109 ± 102
routeguard_a0.25,qwen3-8b,90.3 ± 16.8,24.9 ± 4.2,349 ± 88
routeguard_a0.35,qwen3-1.7b,97.3 ± 3.6,26.6 ± 1.7,366 ± 52
routeguard_a0.35,qwen3-8b,100.0 ± 0.0,27.4 ± 2.0,383 ± 37
routeguard_a0.5,qwen3-0.6b,80.2 ± 8.4,28.5 ± 7.0,81 ± 21
routeguard_a0.5,qwen3-1.7b,100.0 ± 0.0,26.7 ± 1.8,376 ± 53
routeguard_a0.5,qwen3-8b,100.0 ± 0.0,27.4 ± 2.0,383 ± 37
routeguard_conditional_a0.25,qwen3-0.6b,23.0 ± 39.8,24.7,24 ± 42
routeguard_conditional_a0.25,qwen3-1.7b,68.1 ± 34.1,25.7 ± 2.3,256 ± 144
routeguard_conditional_a0.25,qwen3-8b,15.8 ± 27.4,20.6,58 ± 101
routeguard_conditional_a0.35,qwen3-0.6b,28.3 ± 49.0,27.8,30 ± 52
routeguard_conditional_a0.35,qwen3-1.7b,99.6 ± 0.5,26.6 ± 1.8,374 ± 52
routeguard_conditional_a0.35,qwen3-8b,85.1 ± 14.5,23.6 ± 2.6,329 ± 88
