System,AUROC,AUPRC,ECE,Brier,AURC,Error rate (%)
always_large,0.597 ± 0.022,0.254 ± 0.020,0.046 ± 0.010,0.157 ± 0.003,0.145 ± 0.008,19.5 ± 0.6
always_medium,0.569 ± 0.017,0.399 ± 0.026,0.052 ± 0.015,0.223 ± 0.005,0.287 ± 0.012,33.4 ± 1.0
always_small,0.639 ± 0.013,0.657 ± 0.011,0.040 ± 0.017,0.234 ± 0.001,0.442 ± 0.022,52.1 ± 0.7
cascade_a0.25,0.639 ± 0.013,0.657 ± 0.011,0.040 ± 0.017,0.234 ± 0.001,0.442 ± 0.022,52.1 ± 0.7
cascade_a0.35,0.639 ± 0.013,0.657 ± 0.011,0.040 ± 0.017,0.234 ± 0.001,0.442 ± 0.022,52.1 ± 0.7
cascade_a0.5,0.639 ± 0.013,0.657 ± 0.011,0.040 ± 0.017,0.234 ± 0.001,0.442 ± 0.022,52.1 ± 0.7
oracle,0.817 ± 0.008,0.455 ± 0.006,0.279 ± 0.023,0.175 ± 0.011,0.045 ± 0.001,13.5 ± 0.2
routeguard_a0.15,0.576 ± 0.024,0.352 ± 0.019,0.072 ± 0.008,0.205 ± 0.005,0.226 ± 0.022,28.0 ± 1.1
routeguard_a0.25,0.576 ± 0.024,0.352 ± 0.019,0.072 ± 0.008,0.205 ± 0.005,0.226 ± 0.022,28.0 ± 1.1
routeguard_a0.35,0.576 ± 0.024,0.352 ± 0.019,0.072 ± 0.008,0.205 ± 0.005,0.226 ± 0.022,28.0 ± 1.1
routeguard_a0.5,0.576 ± 0.024,0.352 ± 0.019,0.072 ± 0.008,0.205 ± 0.005,0.226 ± 0.022,28.0 ± 1.1
routeguard_conditional_a0.15,0.576 ± 0.024,0.352 ± 0.019,0.072 ± 0.008,0.205 ± 0.005,0.226 ± 0.022,28.0 ± 1.1
routeguard_conditional_a0.25,0.576 ± 0.024,0.352 ± 0.019,0.072 ± 0.008,0.205 ± 0.005,0.226 ± 0.022,28.0 ± 1.1
routeguard_conditional_a0.35,0.576 ± 0.024,0.352 ± 0.019,0.072 ± 0.008,0.205 ± 0.005,0.226 ± 0.022,28.0 ± 1.1
