System,Input tok./query,Output tok./query,Compute/query (TFLOPs),Latency p50 (s),Latency p95 (s),Calls/query
always_large,215.0 ± 1.8,131.8 ± 0.8,5.682 ± 0.040,2.926 ± 0.035,4.686 ± 0.172,1.00 ± 0.00
always_medium,215.0 ± 1.8,94.8 ± 2.8,1.066 ± 0.007,0.907 ± 0.068,1.895 ± 0.235,1.00 ± 0.00
always_small,215.0 ± 1.8,44.5 ± 0.4,0.309 ± 0.002,0.324 ± 0.021,1.112 ± 0.000,1.00 ± 0.00
cascade_a0.25,594.4 ± 43.5,236.8 ± 35.0,5.665 ± 1.312,3.297 ± 1.513,7.148 ± 0.522,2.75 ± 0.24
cascade_a0.35,446.3 ± 10.3,149.6 ± 1.4,1.810 ± 0.192,1.320 ± 0.049,3.844 ± 0.642,2.08 ± 0.04
cascade_a0.5,264.1 ± 17.2,81.4 ± 12.3,0.782 ± 0.086,0.396 ± 0.048,2.280 ± 0.262,1.28 ± 0.11
oracle,215.0 ± 1.8,72.7 ± 1.5,1.320 ± 0.017,0.602 ± 0.027,3.420 ± 0.184,1.00 ± 0.00
routeguard_a0.15,335.9 ± 23.4,175.2 ± 9.2,5.951 ± 0.504,3.217 ± 0.358,5.645 ± 0.073,1.62 ± 0.11
routeguard_a0.25,316.8 ± 24.7,164.4 ± 14.8,5.460 ± 0.696,2.882 ± 0.457,5.510 ± 0.229,1.53 ± 0.13
routeguard_a0.35,242.6 ± 6.9,127.1 ± 0.8,3.634 ± 0.128,1.299 ± 0.141,4.354 ± 0.121,1.15 ± 0.04
routeguard_a0.5,223.0 ± 4.1,120.1 ± 0.9,3.474 ± 0.127,1.155 ± 0.032,4.330 ± 0.136,1.04 ± 0.02
routeguard_conditional_a0.15,346.1 ± 10.7,181.7 ± 2.4,6.223 ± 0.080,3.321 ± 0.192,6.066 ± 0.659,1.66 ± 0.04
routeguard_conditional_a0.25,275.0 ± 29.9,145.1 ± 14.1,4.535 ± 0.788,2.167 ± 0.792,5.287 ± 0.438,1.31 ± 0.14
routeguard_conditional_a0.35,234.0 ± 9.4,124.1 ± 5.5,3.536 ± 0.203,1.257 ± 0.177,4.330 ± 0.136,1.10 ± 0.05
