System,Escalation rate (%),Precision (%),Recall (%),Initial errors corrected (%),Initially-correct broken (%),Escalation cost share (%)
cascade_a0.25,100.0 ± 0.0,52.1 ± 0.7,100.0 ± 0.0,66.3 ± 4.1,7.9 ± 2.0,94.3 ± 1.4
cascade_a0.35,100.0 ± 0.0,52.1 ± 0.7,100.0 ± 0.0,52.3 ± 0.5,12.0 ± 2.0,82.8 ± 1.7
cascade_a0.5,24.9 ± 10.7,79.5 ± 9.5,36.8 ± 11.7,16.6 ± 6.0,1.6 ± 0.8,60.1 ± 4.1
routeguard_a0.15,50.9 ± 7.7,30.0 ± 1.6,54.2 ± 5.5,36.2 ± 4.8,2.1 ± 0.9,43.8 ± 5.3
routeguard_a0.25,43.4 ± 8.4,31.2 ± 2.3,48.0 ± 7.2,31.3 ± 6.4,2.0 ± 1.0,38.5 ± 6.4
routeguard_a0.35,14.2 ± 3.9,40.1 ± 1.1,20.5 ± 5.9,11.2 ± 2.2,0.8 ± 0.2,8.4 ± 3.3
routeguard_a0.5,3.8 ± 1.7,73.1 ± 10.4,9.7 ± 4.1,5.5 ± 1.9,0.2 ± 0.0,4.2 ± 1.2
routeguard_conditional_a0.15,55.5 ± 4.3,28.5 ± 1.2,56.4 ± 3.2,37.9 ± 2.9,2.4 ± 0.7,46.5 ± 3.2
routeguard_conditional_a0.25,24.0 ± 13.3,36.9 ± 2.5,30.6 ± 14.8,20.0 ± 10.2,1.1 ± 0.4,25.0 ± 14.2
routeguard_conditional_a0.35,9.8 ± 5.4,54.7 ± 24.8,16.5 ± 5.7,9.2 ± 3.1,0.6 ± 0.5,5.8 ± 1.1
