System,en,fa,kk,pes_Arab,prs_Arab,ru
always_large,77.7 ± 0.5,54.2 ± 1.4,79.0 ± 3.6,90.0 ± 1.0,90.0 ± 0.0,85.0 ± 0.5
always_medium,64.0 ± 2.7,49.2 ± 3.8,63.3 ± 1.5,71.0 ± 2.0,83.3 ± 1.4,71.2 ± 0.3
always_small,46.3 ± 1.1,35.0 ± 0.0,49.0 ± 1.0,51.0 ± 5.6,56.7 ± 1.4,49.5 ± 1.7
cascade_a0.25,74.1 ± 4.4,67.5 ± 6.6,78.3 ± 2.1,86.7 ± 3.5,90.0 ± 0.0,83.3 ± 3.8
cascade_a0.35,68.6 ± 2.4,56.7 ± 6.3,64.7 ± 2.5,71.7 ± 1.2,83.3 ± 1.4,71.8 ± 1.0
cascade_a0.5,56.8 ± 2.2,39.2 ± 2.9,54.3 ± 0.6,58.7 ± 7.5,63.3 ± 5.8,54.7 ± 5.3
oracle,81.8 ± 0.5,80.8 ± 1.4,87.0 ± 0.0,95.0 ± 1.7,94.2 ± 1.4,90.7 ± 1.0
routeguard_a0.15,77.2 ± 1.4,57.5 ± 0.0,80.0 ± 3.6,89.7 ± 2.5,90.0 ± 0.0,85.7 ± 0.6
routeguard_a0.25,75.4 ± 2.9,57.5 ± 0.0,79.3 ± 3.1,88.3 ± 2.1,90.0 ± 0.0,84.5 ± 0.5
routeguard_a0.35,72.2 ± 2.2,55.8 ± 5.2,76.7 ± 2.9,79.7 ± 4.0,83.3 ± 1.4,77.7 ± 0.6
routeguard_a0.5,70.9 ± 1.3,53.3 ± 9.5,76.3 ± 2.3,79.3 ± 4.5,83.3 ± 1.4,76.0 ± 1.3
routeguard_conditional_a0.15,77.7 ± 0.5,57.5 ± 0.0,80.0 ± 3.6,90.7 ± 1.2,90.0 ± 0.0,85.5 ± 0.5
routeguard_conditional_a0.25,73.6 ± 2.6,57.5 ± 0.0,77.3 ± 4.0,84.3 ± 5.0,87.5 ± 4.3,80.7 ± 2.3
routeguard_conditional_a0.35,72.0 ± 2.4,55.8 ± 5.2,76.3 ± 2.3,79.3 ± 4.5,83.3 ± 1.4,76.3 ± 2.9
