System,en,fa,kk,pes_Arab,prs_Arab,ru
always_large,0.584 ± 0.035,0.604 ± 0.046,0.525 ± 0.021,0.554 ± 0.069,0.711 ± 0.011,0.706 ± 0.040
always_medium,0.635 ± 0.037,0.566 ± 0.016,0.476 ± 0.040,0.428 ± 0.013,0.535 ± 0.052,0.593 ± 0.022
always_small,0.703 ± 0.011,0.360 ± 0.073,0.537 ± 0.028,0.648 ± 0.065,0.703 ± 0.101,0.610 ± 0.016
cascade_a0.25,0.703 ± 0.011,0.360 ± 0.073,0.537 ± 0.028,0.648 ± 0.065,0.703 ± 0.101,0.610 ± 0.016
cascade_a0.35,0.703 ± 0.011,0.360 ± 0.073,0.537 ± 0.028,0.648 ± 0.065,0.703 ± 0.101,0.610 ± 0.016
cascade_a0.5,0.703 ± 0.011,0.360 ± 0.073,0.537 ± 0.028,0.648 ± 0.065,0.703 ± 0.101,0.610 ± 0.016
oracle,0.894 ± 0.016,0.634 ± 0.111,0.578 ± 0.056,0.748 ± 0.084,0.884 ± 0.024,0.767 ± 0.079
routeguard_a0.15,0.571 ± 0.040,0.610 ± 0.026,0.518 ± 0.044,0.574 ± 0.070,0.535 ± 0.052,0.692 ± 0.077
routeguard_a0.25,0.571 ± 0.040,0.610 ± 0.026,0.518 ± 0.044,0.574 ± 0.070,0.535 ± 0.052,0.692 ± 0.077
routeguard_a0.35,0.571 ± 0.040,0.610 ± 0.026,0.518 ± 0.044,0.574 ± 0.070,0.535 ± 0.052,0.692 ± 0.077
routeguard_a0.5,0.571 ± 0.040,0.610 ± 0.026,0.518 ± 0.044,0.574 ± 0.070,0.535 ± 0.052,0.692 ± 0.077
routeguard_conditional_a0.15,0.571 ± 0.040,0.610 ± 0.026,0.518 ± 0.044,0.574 ± 0.070,0.535 ± 0.052,0.692 ± 0.077
routeguard_conditional_a0.25,0.571 ± 0.040,0.610 ± 0.026,0.518 ± 0.044,0.574 ± 0.070,0.535 ± 0.052,0.692 ± 0.077
routeguard_conditional_a0.35,0.571 ± 0.040,0.610 ± 0.026,0.518 ± 0.044,0.574 ± 0.070,0.535 ± 0.052,0.692 ± 0.077
