System,en,fa,kk,pes_Arab,prs_Arab,ru
always_large,77.7 ± 0.5,54.2 ± 1.4,79.0 ± 3.6,90.0 ± 1.0,90.0 ± 0.0,85.0 ± 0.5
always_medium,64.0 ± 2.7,49.2 ± 3.8,63.3 ± 1.5,71.0 ± 2.0,83.3 ± 1.4,71.2 ± 0.3
always_small,46.3 ± 1.1,35.0 ± 0.0,49.0 ± 1.0,51.0 ± 5.6,56.7 ± 1.4,49.5 ± 1.7
cost_aware_t0.5,59.2 ± 3.2,57.5 ± 6.6,59.0 ± 6.2,61.7 ± 4.6,58.3 ± 6.3,64.8 ± 2.8
cost_aware_t0.7,68.2 ± 1.8,54.2 ± 8.0,76.3 ± 2.3,79.0 ± 5.0,83.3 ± 1.4,75.0 ± 2.2
cost_aware_t0.85,73.6 ± 1.7,53.3 ± 7.6,78.7 ± 3.5,90.0 ± 1.0,89.2 ± 1.4,80.3 ± 2.4
learned_router,53.0 ± 1.0,55.8 ± 5.2,50.0 ± 1.0,51.3 ± 6.4,56.7 ± 1.4,53.2 ± 2.6
oracle,81.8 ± 0.5,80.8 ± 1.4,87.0 ± 0.0,95.0 ± 1.7,94.2 ± 1.4,90.7 ± 1.0
quality_cost_l0.05,74.5 ± 2.2,52.5 ± 5.0,78.7 ± 3.5,90.0 ± 1.0,90.0 ± 0.0,83.0 ± 2.0
quality_cost_l0.2,66.3 ± 2.6,45.8 ± 5.8,72.0 ± 2.6,81.0 ± 4.0,83.3 ± 1.4,74.8 ± 2.0
quality_cost_l0.5,62.6 ± 3.2,40.8 ± 2.9,62.3 ± 1.5,70.7 ± 2.1,83.3 ± 1.4,69.2 ± 0.3
random,61.9 ± 0.4,42.5 ± 2.5,60.7 ± 5.9,69.3 ± 3.1,75.8 ± 8.0,68.8 ± 0.8
rule_based,57.6 ± 0.7,50.0 ± 5.0,63.3 ± 1.5,71.0 ± 2.0,83.3 ± 1.4,62.2 ± 3.1
threshold_heuristic,62.5 ± 1.5,42.5 ± 4.3,53.3 ± 1.2,61.0 ± 1.0,56.7 ± 1.4,71.2 ± 1.3
threshold_learned,53.9 ± 2.4,50.0 ± 4.3,50.7 ± 3.2,55.3 ± 5.5,56.7 ± 1.4,58.7 ± 2.8
threshold_llm_judge,64.0 ± 2.7,49.2 ± 3.8,63.3 ± 1.5,71.0 ± 2.0,83.3 ± 1.4,71.2 ± 0.3
threshold_neural,53.9 ± 0.9,51.7 ± 5.2,50.7 ± 0.6,56.3 ± 5.9,56.7 ± 1.4,56.8 ± 5.8
