System,en,fa,kk,pes_Arab,prs_Arab,ru
always_large,0.584 ± 0.035,0.604 ± 0.046,0.525 ± 0.021,0.554 ± 0.069,0.711 ± 0.011,0.706 ± 0.040
always_medium,0.635 ± 0.037,0.566 ± 0.016,0.476 ± 0.040,0.428 ± 0.013,0.535 ± 0.052,0.593 ± 0.022
always_small,0.703 ± 0.011,0.360 ± 0.073,0.537 ± 0.028,0.648 ± 0.065,0.703 ± 0.101,0.610 ± 0.016
cost_aware_t0.5,0.553 ± 0.029,0.541 ± 0.038,0.544 ± 0.034,0.580 ± 0.106,0.691 ± 0.081,0.634 ± 0.024
cost_aware_t0.7,0.571 ± 0.040,0.610 ± 0.026,0.518 ± 0.044,0.574 ± 0.070,0.535 ± 0.052,0.692 ± 0.077
cost_aware_t0.85,0.572 ± 0.053,0.632 ± 0.018,0.553 ± 0.048,0.520 ± 0.108,0.730 ± 0.027,0.689 ± 0.039
learned_router,0.548 ± 0.029,0.533 ± 0.007,0.528 ± 0.042,0.624 ± 0.092,0.703 ± 0.101,0.611 ± 0.007
oracle,0.894 ± 0.016,0.634 ± 0.111,0.578 ± 0.056,0.748 ± 0.084,0.884 ± 0.024,0.767 ± 0.079
quality_cost_l0.05,0.623 ± 0.039,0.634 ± 0.047,0.547 ± 0.045,0.552 ± 0.067,0.711 ± 0.011,0.712 ± 0.057
quality_cost_l0.2,0.655 ± 0.046,0.625 ± 0.064,0.593 ± 0.058,0.594 ± 0.076,0.535 ± 0.052,0.667 ± 0.053
quality_cost_l0.5,0.666 ± 0.059,0.550 ± 0.033,0.470 ± 0.053,0.432 ± 0.010,0.535 ± 0.052,0.634 ± 0.026
random,0.705 ± 0.031,0.566 ± 0.026,0.643 ± 0.046,0.688 ± 0.056,0.773 ± 0.072,0.735 ± 0.032
rule_based,0.773 ± 0.023,0.514 ± 0.042,0.477 ± 0.040,0.428 ± 0.013,0.535 ± 0.052,0.654 ± 0.034
threshold_heuristic,0.770 ± 0.024,0.556 ± 0.045,0.505 ± 0.051,0.551 ± 0.024,0.703 ± 0.101,0.598 ± 0.051
threshold_learned,0.526 ± 0.016,0.483 ± 0.050,0.525 ± 0.043,0.634 ± 0.051,0.703 ± 0.101,0.610 ± 0.022
threshold_llm_judge,0.635 ± 0.037,0.566 ± 0.016,0.476 ± 0.040,0.428 ± 0.013,0.535 ± 0.052,0.593 ± 0.022
threshold_neural,0.533 ± 0.020,0.537 ± 0.055,0.536 ± 0.041,0.640 ± 0.035,0.703 ± 0.101,0.611 ± 0.037
