System,Routing acc. (%),Unnecessary large-model use (%),Incorrect small-model routing (%),Oracle acc. (%)
always_large,13.3 ± 0.6,86.7 ± 0.6,0.0 ± 0.0,86.5 ± 0.2
always_medium,25.4 ± 1.1,61.4 ± 0.5,17.9 ± 1.2,86.5 ± 0.2
always_small,61.4 ± 0.5,0.0 ± 0.0,38.6 ± 0.5,86.5 ± 0.2
cost_aware_t0.5,41.1 ± 3.1,37.1 ± 5.0,24.1 ± 1.7,86.5 ± 0.2
cost_aware_t0.7,27.1 ± 0.5,64.3 ± 1.4,10.7 ± 1.3,86.5 ± 0.2
cost_aware_t0.85,16.2 ± 0.5,80.7 ± 1.4,4.1 ± 1.2,86.5 ± 0.2
learned_router,52.5 ± 0.8,15.2 ± 1.6,33.1 ± 0.8,86.5 ± 0.2
oracle,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,86.5 ± 0.2
quality_cost_l0.05,15.5 ± 1.9,82.2 ± 2.4,2.8 ± 1.2,86.5 ± 0.2
quality_cost_l0.2,24.7 ± 1.0,65.4 ± 1.3,13.1 ± 1.8,86.5 ± 0.2
quality_cost_l0.5,29.4 ± 1.9,54.9 ± 1.9,20.0 ± 1.5,86.5 ± 0.2
random,32.1 ± 0.8,49.9 ± 1.1,19.6 ± 0.6,86.5 ± 0.2
rule_based,42.5 ± 0.6,36.6 ± 0.5,23.0 ± 0.3,86.5 ± 0.2
threshold_heuristic,44.5 ± 0.9,34.9 ± 1.2,22.9 ± 0.3,86.5 ± 0.2
threshold_learned,50.0 ± 0.9,20.8 ± 1.0,30.9 ± 0.6,86.5 ± 0.2
threshold_llm_judge,25.4 ± 1.1,61.4 ± 0.5,17.9 ± 1.2,86.5 ± 0.2
threshold_neural,52.1 ± 1.3,18.0 ± 1.6,30.8 ± 0.3,86.5 ± 0.2
