System,Δ acc. (pp),95% CI (pp),Bootstrap p,McNemar p,n
always_large,+8.4,"[+7.1, +9.8]",0,6.98e-36,2580
always_medium,-5.4,"[-6.8, -4.0]",0,2.24e-13,2580
always_small,-24.1,"[-26.2, -22.1]",0,1.05e-111,2580
cost_aware_t0.5,-11.4,"[-12.9, -9.9]",0,3.08e-47,2580
cost_aware_t0.85,+5.4,"[+4.3, +6.6]",0,1.26e-22,2580
learned_router,-19.2,"[-21.1, -17.3]",0,3.7e-84,2580
oracle,+14.5,"[+13.2, +15.8]",0,5.2e-113,2580
quality_cost_l0.05,+6.4,"[+5.2, +7.7]",0,2.65e-23,2580
quality_cost_l0.2,-1.5,"[-2.7, -0.3]",0.0112,0.0122,2580
quality_cost_l0.5,-7.0,"[-8.5, -5.6]",0,8.48e-21,2580
random,-8.0,"[-9.8, -6.3]",0,4.09e-20,2580
rule_based,-10.3,"[-12.0, -8.6]",0,1.42e-31,2580
threshold_heuristic,-10.0,"[-11.7, -8.3]",0,6.13e-30,2580
threshold_learned,-17.3,"[-19.2, -15.4]",0,1.45e-71,2580
threshold_llm_judge,-5.4,"[-6.8, -4.0]",0,2.24e-13,2580
threshold_neural,-17.5,"[-19.4, -15.7]",0,1.92e-74,2580
